Node1,Node2
0,27
0,26
0,15
0,53
0,76
0,47
1,48
1,29
1,61
1,22
1,76
1,13
2,69
2,86
2,83
2,50
2,18
2,38
3,72
3,87
3,34
3,28
3,65
4,17
4,63
4,53
4,40
4,34
5,21
5,11
5,9
5,42
5,31
5,23
6,23
6,61
6,63
6,32
6,55
6,69
7,35
7,26
7,83
7,21
7,16
7,24
7,56
7,20
7,31
7,18
7,49
7,36
8,61
8,79
8,16
8,43
8,57
8,22
9,18
9,88
9,83
9,38
9,62
9,36
9,45
9,91
9,20
9,43
9,16
9,61
9,29
10,32
10,25
10,37
10,11
10,48
10,13
10,63
10,44
10,30
10,40
11,63
11,88
11,51
12,34
12,94
12,55
12,96
12,49
13,20
13,66
13,39
13,34
14,25
14,19
14,44
14,96
14,84
14,57
15,98
15,75
15,83
15,90
15,70
16,26
16,69
16,88
16,52
16,21
16,18
16,47
16,76
16,93
16,41
16,66
16,34
16,80
16,45
16,43
16,94
16,58
16,82
16,61
16,54
16,81
16,25
16,83
16,31
16,84
16,20
17,39
17,37
17,64
17,73
17,88
18,83
18,52
18,87
18,75
18,63
18,25
18,21
18,90
18,26
18,24
19,58
19,73
19,38
19,46
19,53
19,34
19,20
19,26
19,33
20,72
20,76
20,83
20,79
20,88
20,37
20,34
20,92
20,61
20,21
20,84
20,54
20,36
20,74
20,58
20,26
20,52
20,43
20,49
20,38
21,40
21,43
21,53
21,55
21,57
21,95
21,34
21,64
21,58
22,91
22,76
22,51
22,72
23,53
23,24
24,83
24,38
24,31
24,76
24,63
24,61
24,43
24,80
24,84
25,42
25,29
25,38
25,88
25,95
25,68
25,82
25,83
26,85
26,38
26,32
26,93
26,70
26,50
26,61
26,76
26,56
26,34
26,63
27,31
27,70
27,43
27,42
27,63
28,59
28,49
28,62
28,86
28,93
29,42
29,83
29,33
30,50
30,83
30,71
30,80
30,37
31,44
31,48
31,53
31,61
31,33
31,80
31,92
32,97
32,33
32,73
33,50
33,74
34,99
34,37
34,90
34,83
34,43
34,51
34,76
34,88
35,46
35,43
35,36
35,94
35,59
36,40
36,48
36,61
36,91
36,68
36,70
37,61
37,94
37,89
37,81
38,44
38,43
38,63
38,58
38,76
38,61
38,75
38,88
39,60
39,76
39,88
39,82
40,69
40,43
40,68
40,96
40,77
40,86
41,81
41,43
41,91
41,55
41,99
42,43
42,96
42,87
42,89
42,84
42,58
43,92
43,97
43,63
43,59
43,61
43,47
43,67
43,70
43,82
43,74
43,53
43,80
43,58
43,88
43,76
43,98
43,77
43,83
43,84
44,70
44,68
45,99
45,79
45,92
46,93
46,58
46,66
46,71
47,75
47,91
47,67
48,61
48,80
49,83
49,88
50,84
50,99
51,71
51,52
51,77
52,88
52,76
53,87
53,89
53,86
53,88
54,88
54,85
54,81
54,56
55,62
55,64
56,65
57,93
57,63
57,73
58,80
58,82
59,83
59,91
59,78
60,91
60,77
60,92
60,89
60,98
61,99
61,83
61,63
61,79
61,62
61,88
62,75
62,77
63,69
64,98
64,83
64,82
65,76
65,70
65,90
65,79
66,93
66,75
66,73
67,74
67,72
67,85
68,98
68,89
69,94
70,99
70,71
71,78
71,73
74,87
74,91
76,84
76,97
76,91
77,88
78,84
78,95
78,97
79,89
80,88
80,85
80,86
80,90
81,90
81,88
83,88
83,87
84,88
84,98
86,95
91,95
91,94
96,97
