Node1,Node2
0,82
0,45
0,83
0,10
1,65
1,81
1,72
1,93
2,62
2,61
2,94
2,20
3,62
3,59
3,71
3,11
4,25
4,73
4,84
4,56
4,35
4,9
4,65
4,90
4,64
4,59
4,27
4,61
4,29
5,32
5,58
5,37
6,64
6,79
6,38
6,37
7,12
7,26
7,56
7,22
8,80
8,50
8,51
8,94
8,35
8,55
8,27
8,23
9,59
9,61
9,36
9,35
9,28
9,82
9,14
9,75
9,93
9,30
9,64
9,65
9,39
9,44
10,33
10,67
10,42
11,98
11,80
11,12
11,25
11,43
11,61
11,65
11,44
12,95
12,28
13,98
13,61
13,38
13,24
13,96
13,50
13,29
13,44
13,76
13,43
14,38
14,30
14,67
14,61
14,87
15,45
15,81
15,66
16,55
16,61
16,68
17,49
17,77
17,63
17,83
18,31
18,79
18,48
19,61
19,42
19,33
19,31
20,55
20,41
20,87
21,66
21,65
21,78
21,50
21,61
21,40
21,55
21,34
21,90
22,61
22,47
22,60
23,34
23,78
23,49
23,98
23,27
24,39
24,29
24,85
25,74
25,78
25,52
25,98
25,91
25,35
26,87
26,29
26,67
27,54
28,33
28,36
29,61
29,94
29,64
29,39
29,30
29,80
29,98
29,83
29,82
29,59
30,98
30,61
30,48
30,59
31,60
31,69
32,42
32,90
32,86
33,59
34,35
34,48
35,59
35,61
35,75
35,80
35,98
35,94
35,41
36,91
36,95
36,43
36,52
37,73
38,88
39,65
39,80
39,61
39,94
39,77
40,97
40,61
40,92
41,44
41,92
42,85
43,61
43,70
44,82
44,52
44,94
44,75
44,53
45,85
45,61
46,68
46,84
46,74
47,61
47,54
47,63
48,61
48,98
48,72
49,68
49,99
50,81
51,98
51,86
51,57
52,61
52,63
53,78
53,61
53,94
54,71
54,96
55,61
55,99
55,72
55,70
56,71
56,62
57,98
57,91
57,76
58,64
59,64
59,73
59,65
59,91
59,98
59,61
60,75
60,63
61,64
61,92
61,94
61,98
61,65
61,69
61,73
61,80
62,95
64,98
64,80
64,74
64,75
65,98
65,94
66,75
68,88
68,87
68,89
69,99
70,90
71,84
72,73
73,98
74,77
75,87
76,93
76,84
79,85
79,86
80,87
80,97
80,92
80,83
81,91
86,98
87,97
88,94
88,96
89,97
89,99
89,95
91,94
93,94
94,98
